"Easylife Direct Link","Easylife Direct Link"
Enabled,Enabled
"Enabled for advanced search page","Enabled for advanced search page"
"Enabled for catalog pages","Enabled for catalog pages"
"Enabled for quick search page","Enabled for quick search page"
"Filters block name in advanced search results pages","Filters block name in advanced search results pages"
"Filters block name in catalog pages","Filters block name in catalog pages"
"Filters block name in quick search results pages","Filters block name in quick search results pages"
"Name of the filters block in the layout of the advanced search result page.","Name of the filters block in the layout of the advanced search result page."
"Name of the filters block in the layout of the category pages.","Name of the filters block in the layout of the category pages."
"Name of the filters block in the layout of the quick search result page.","Name of the filters block in the layout of the quick search result page."
"Name of the product listing block in the layout of the advanced search result page.","Name of the product listing block in the layout of the advanced search result page."
"Name of the product listing block in the layout of the category pages.","Name of the product listing block in the layout of the category pages."
"Name of the product listing block in the layout of the quick search result page.","Name of the product listing block in the layout of the quick search result page."
"Product block name in advanced search results pages","Product block name in advanced search results pages"
"Product block name in catalog pages","Product block name in catalog pages"
"Product block name in quick search results pages","Product block name in quick search results pages"
Settings,Settings
